date,open,high,low,close,volume,average,barCount
2024-06-10,164.12,165.42,159.84,160.54,946298.0,161.57,7084
2024-06-11,159.9,160.97,157.76,158.51,864583.0,159.2,6895
2024-06-12,157.0,160.26,156.71,159.67,1999716.0,158.894,13000
2024-06-13,158.95,160.4,157.56,157.72,590283.0,158.653,4803
2024-06-14,157.01,159.25,155.94,158.96,557729.0,158.211,4248
2024-06-17,158.16,158.96,157.17,157.4,459685.0,158.029,3294
2024-06-18,157.31,158.42,155.22,155.37,420135.0,156.585,3323
2024-06-20,155.18,155.56,153.99,154.98,610387.0,154.892,4570
2024-06-21,155.56,159.25,155.16,158.22,1093564.0,157.3,6573
2024-06-24,158.04,160.23,157.44,159.71,487088.0,159.347,3628
2024-06-25,160.0,160.72,157.8,159.04,388180.0,158.945,3034
2024-06-26,158.78,159.6,156.98,157.54,617282.0,158.087,4576
2024-06-27,157.88,158.55,156.46,156.98,393465.0,157.229,3158
2024-06-28,156.84,158.18,155.2,155.49,643980.0,156.192,4603
2024-07-01,154.1,155.88,153.38,154.29,607428.0,154.285,3975
2024-07-02,154.56,155.45,154.29,154.65,370804.0,154.873,2687
2024-07-03,154.2,154.95,152.8,153.5,336193.0,153.611,2505
2024-07-05,152.84,153.01,151.51,151.74,540340.0,152.128,4170
2024-07-08,151.84,152.81,151.03,152.0,533680.0,151.941,3479
2024-07-09,151.95,151.95,149.15,149.36,654644.0,150.123,4397
2024-07-10,149.4,149.98,147.62,148.83,920179.0,148.63,5387
2024-07-11,150.01,153.08,149.85,151.52,1230079.0,151.572,6914
2024-07-12,151.89,155.28,151.76,153.35,935686.0,153.953,5313
2024-07-15,153.72,154.57,152.31,153.31,590085.0,153.243,4558
2024-07-16,154.01,154.56,152.73,154.1,494364.0,153.725,3407
2024-07-17,154.13,154.13,149.83,149.87,959568.0,151.296,4847
2024-07-18,149.87,151.32,148.78,150.3,1109107.0,150.347,5918
2024-07-19,150.4,151.25,148.92,150.32,865808.0,150.39,4934
2024-07-22,150.56,151.06,148.86,150.45,508350.0,149.899,3435
2024-07-23,150.45,152.52,150.07,151.71,400143.0,151.489,3032
2024-07-24,151.79,155.12,151.66,152.89,983593.0,153.468,7363
2024-07-25,153.5,153.5,150.02,150.3,716045.0,151.725,5638
2024-07-26,150.63,151.06,149.16,150.75,737902.0,150.223,5780
2024-07-29,151.41,151.92,150.23,150.7,648781.0,150.89,4549
2024-07-30,150.69,152.45,149.86,150.0,613980.0,150.748,4208
2024-07-31,151.33,152.25,150.38,150.53,803542.0,151.056,5582
2024-08-01,150.16,150.23,144.96,145.96,795023.0,146.604,5418
2024-08-02,146.0,146.57,143.16,143.68,976831.0,144.097,7014
2024-08-05,141.16,141.4,137.51,139.49,850910.0,139.3,6128
2024-08-06,139.57,141.47,138.99,140.11,761340.0,140.704,5185
2024-08-07,141.0,141.44,135.61,135.67,1418640.0,136.984,9365
2024-08-08,136.83,138.87,135.24,138.78,1317273.0,137.177,9173
2024-08-09,142.14,145.7,141.34,144.82,2171369.0,143.667,16766
2024-08-12,145.89,149.5,145.26,147.29,1075801.0,147.974,7581
2024-08-13,147.31,147.81,144.7,144.88,754080.0,145.767,5689
2024-08-14,144.63,145.91,143.17,144.91,378924.0,144.682,3007
2024-08-15,145.9,148.05,145.5,146.38,477022.0,146.903,3505
2024-08-16,146.46,151.1,146.39,149.94,897861.0,149.726,6458
